epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.495,1.44727,2.32172,1.45825,0.96933,0.55556,0.69551,0.54968,1.03312,1.38851,1.21126,0.000156863,0.000156863,0.0687843
2,41.7728,1.53973,2.19836,1.45882,1,0.66667,0.8349,0.53627,1.19509,9.08035,1.29672,0.000323213,0.000323213,0.0356173
3,60.0856,1.6138,2.85387,1.49039,0.77995,0.77778,0.76725,0.51991,1.3326,2.40401,1.25351,0.000488283,0.000488283,0.00244907
4,83.3724,1.76895,2.1024,1.62806,0.83012,0.66667,0.77271,0.53312,1.2111,2.70372,1.2952,0.000495616,0.000495616,0.000495616
5,105.597,1.50726,2.05041,1.4996,1,0.43015,0.57276,0.36513,1.58031,2.01096,1.63138,0.000492224,0.000492224,0.000492224
6,129.404,1.43917,1.57261,1.40586,0.81945,0.88889,0.83359,0.57001,1.16984,1.895,1.38993,0.000487886,0.000487886,0.000487886
7,166.953,1.41344,1.44872,1.39853,0.97795,0.88889,0.94687,0.67879,1.02815,1.75786,1.33768,0.00048262,0.00048262,0.00048262
8,200.878,1.3654,1.21353,1.39287,0.97344,0.88889,0.88869,0.67016,1.03242,1.88668,1.29194,0.000476445,0.000476445,0.000476445
9,229.497,1.46952,1.35765,1.4751,0.74675,0.65654,0.70279,0.56851,0.92514,3.43357,1.19929,0.000469386,0.000469386,0.000469386
10,257.071,1.42378,1.334,1.41911,1,0.64426,0.81327,0.56925,1.16477,1.51638,1.2922,0.000461471,0.000461471,0.000461471
11,285.389,1.33313,1.23626,1.35907,0.95596,0.66667,0.75356,0.52062,1.05055,2.02697,1.32458,0.000452732,0.000452732,0.000452732
11,16.9931,1.35856,1.3617,1.41903,0.74408,0.64824,0.64398,0.39731,1.22338,4.46504,1.49347,0.000452732,0.000452732,0.000452732
12,83.9993,1.39413,1.33266,1.38678,0.82949,0.77778,0.83282,0.48908,1.25453,1.9093,1.37821,0.000443202,0.000443202,0.000443202
13,105.49,1.33004,1.25077,1.3869,0.72162,0.86587,0.77407,0.51245,1.09371,1.6677,1.32009,0.00043292,0.00043292,0.00043292
14,126.361,1.36445,1.19151,1.42993,0.98574,0.77778,0.86524,0.64344,0.97723,1.56017,1.24481,0.000421925,0.000421925,0.000421925
15,157.035,1.19331,1.03542,1.32401,1,0.86897,0.88993,0.63627,1.08666,1.17756,1.26529,0.000410262,0.000410262,0.000410262
16,187.21,1.16657,0.9676,1.22361,0.87959,0.88889,0.83319,0.54381,1.17495,1.02303,1.33329,0.000397977,0.000397977,0.000397977
17,275.133,1.15567,0.93779,1.21622,0.86402,0.88889,0.88306,0.53761,1.35262,1.05295,1.49066,0.000385117,0.000385117,0.000385117
18,301.011,1.0699,0.86392,1.18404,0.78247,0.88889,0.79411,0.50417,1.17481,1.12899,1.35162,0.000371734,0.000371734,0.000371734
19,327.437,1.13956,0.83917,1.25364,0.88724,0.87574,0.87207,0.57176,1.37801,1.4377,1.37027,0.00035788,0.00035788,0.00035788
20,364.46,1.15676,0.91053,1.22472,0.99081,0.77778,0.81046,0.5779,1.24364,1.27356,1.27329,0.000343611,0.000343611,0.000343611
21,397.008,1.17541,0.92634,1.26659,1,0.77098,0.79265,0.60251,1.19291,1.24657,1.29154,0.000328982,0.000328982,0.000328982
22,435.16,1.22233,0.95842,1.3157,0.98051,0.66667,0.70484,0.54163,1.16753,1.40593,1.30807,0.000314051,0.000314051,0.000314051
23,459.543,1.12943,0.86923,1.22217,0.97669,0.66667,0.67075,0.53031,1.10738,1.51595,1.31526,0.000298877,0.000298877,0.000298877
24,488.243,1.11012,0.91086,1.22661,0.98446,0.66667,0.66836,0.53334,1.05565,1.589,1.30791,0.00028352,0.00028352,0.00028352
