epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,45.7947,1.00728,1.50947,1.12075,0.69803,0.55354,0.62721,0.45231,1.10124,1.55752,1.22305,0.000164286,0.000164286,0.0673071
2,97.4388,0.95678,1.21842,1.07337,0.69083,0.74648,0.78571,0.56746,0.83344,1.2108,1.08831,0.000330629,0.000330629,0.0341402
3,146.177,1.01309,1.27986,1.14676,0.67314,0.75418,0.6976,0.46635,0.99002,1.92119,1.17084,0.000495677,0.000495677,0.000971867
4,193.913,0.95372,1.22824,1.12715,0.64561,0.69282,0.72351,0.52823,0.95597,1.36347,1.22299,0.000495616,0.000495616,0.000495616
5,242.101,0.994,1.18197,1.15402,0.68787,0.66197,0.75614,0.55635,0.98558,1.19671,1.21053,0.000492224,0.000492224,0.000492224
6,290.087,0.92682,1.082,1.09601,0.7096,0.68835,0.73198,0.55101,0.95064,1.2951,1.14295,0.000487886,0.000487886,0.000487886
7,341.139,0.94438,1.09274,1.12765,0.73213,0.76056,0.76478,0.56462,0.99545,1.19516,1.21302,0.00048262,0.00048262,0.00048262
8,388.498,0.94048,1.04339,1.08472,0.77782,0.70423,0.77534,0.55129,0.9276,1.04983,1.18791,0.000476445,0.000476445,0.000476445
9,435.911,0.93792,1.05536,1.09988,0.72246,0.71831,0.78999,0.58553,0.89458,1.21593,1.11074,0.000469386,0.000469386,0.000469386
10,485.874,0.98251,1.09424,1.15072,0.79097,0.61972,0.77989,0.58441,0.92818,1.1884,1.17567,0.000461471,0.000461471,0.000461471
11,533.615,0.95204,1.04816,1.08627,0.71144,0.80282,0.80986,0.6156,0.93044,1.15549,1.16286,0.000452732,0.000452732,0.000452732
12,585.504,0.90502,1.03701,1.08882,0.71433,0.77482,0.81859,0.63242,0.78533,0.98517,1.06068,0.000443202,0.000443202,0.000443202
13,635.023,0.91628,0.96849,1.11043,0.71626,0.76056,0.80452,0.60036,0.80173,0.94113,1.12297,0.00043292,0.00043292,0.00043292
14,683.481,0.84657,0.89638,1.05517,0.70767,0.8169,0.79187,0.5793,0.90258,1.02025,1.13318,0.000421925,0.000421925,0.000421925
15,731.419,0.87961,0.946,1.07394,0.83365,0.74648,0.81811,0.59237,0.86669,0.98613,1.12392,0.000410262,0.000410262,0.000410262
16,778.979,0.85755,0.90562,1.07768,0.69764,0.76056,0.78806,0.57551,0.87697,1.07595,1.14335,0.000397977,0.000397977,0.000397977
17,830.731,0.79148,0.9645,1.01092,0.80893,0.71557,0.80265,0.61183,0.78247,0.95459,1.10424,0.000385117,0.000385117,0.000385117
18,881.121,0.79458,0.87607,1.02653,0.85122,0.71831,0.83134,0.6176,0.76142,0.97869,1.07838,0.000371734,0.000371734,0.000371734
