epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,88.1696,0.81067,0.87014,1.06976,0.68132,0.71831,0.7238,0.53161,0.96726,1.21547,1.14332,0.000164286,0.000164286,0.0673071
2,177.485,0.74735,0.95488,1.03017,0.70482,0.70423,0.79177,0.59276,0.8711,1.12572,1.1239,0.000330629,0.000330629,0.0341402
3,248.919,0.85132,0.96155,1.10346,0.72958,0.73239,0.78527,0.56498,0.96134,1.17561,1.16778,0.000495677,0.000495677,0.000971867
4,317.449,0.87432,0.96751,1.1007,0.67874,0.74648,0.73316,0.51521,1.05775,1.45194,1.2411,0.000495616,0.000495616,0.000495616
5,386.395,0.9267,1.01502,1.12732,0.69443,0.73623,0.73064,0.52756,0.95025,1.15134,1.163,0.000492224,0.000492224,0.000492224
6,455.114,0.8732,0.89356,1.10069,0.66367,0.8169,0.79153,0.55173,0.92244,1.22006,1.16584,0.000487886,0.000487886,0.000487886
7,543.357,0.8587,0.9477,1.11979,0.69595,0.74153,0.7378,0.56298,0.82426,1.2398,1.0811,0.00048262,0.00048262,0.00048262
