epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.1777,1.5094,2.2079,1.40023,0.56107,0.56935,0.66197,0.40733,1.46104,1.98577,1.30714,0.000156863,0.000156863,0.0687843
2,45.2239,1.59345,1.70726,1.38439,0.80139,0.66667,0.75068,0.4495,1.46723,2.87587,1.46848,0.000323213,0.000323213,0.0356173
3,57.7976,1.52185,1.60114,1.42293,0.6608,0.65101,0.65648,0.41502,1.50613,1.61429,1.69836,0.000488283,0.000488283,0.00244907
4,73.3435,1.64226,1.66334,1.49747,0.6131,0.77778,0.74847,0.46123,1.36686,4.03612,1.33598,0.000495616,0.000495616,0.000495616
5,89.8534,1.50485,1.48694,1.39907,0.40456,0.22222,0.24283,0.1624,1.12457,2.70221,1.28657,0.000492224,0.000492224,0.000492224
6,108.461,1.46078,1.38022,1.34189,0.81089,0.44444,0.52699,0.3032,1.54292,2.98139,1.65409,0.000487886,0.000487886,0.000487886
7,121.725,1.45701,1.34072,1.34597,0.97362,0.44444,0.6116,0.39686,1.63275,1.41111,1.81019,0.00048262,0.00048262,0.00048262
8,135.424,1.39355,1.25199,1.33342,0.8334,0.77778,0.85025,0.58527,1.18331,1.20592,1.24152,0.000476445,0.000476445,0.000476445
9,151.228,1.3974,1.27331,1.33271,0.94191,0.44444,0.5505,0.41848,1.24638,1.9433,1.26541,0.000469386,0.000469386,0.000469386
10,164.083,1.43451,1.30656,1.3531,0.80105,0.66667,0.66345,0.5106,1.17591,4.63861,1.25394,0.000461471,0.000461471,0.000461471
11,178.435,1.37887,1.1875,1.30494,0.76187,0.77778,0.75449,0.56571,1.2824,4.14243,1.28921,0.000452732,0.000452732,0.000452732
12,198.685,1.41071,1.17514,1.3386,0.84371,0.66667,0.64606,0.49241,1.01284,2.92164,1.20554,0.000443202,0.000443202,0.000443202
13,212.659,1.24707,1.07462,1.24232,0.85678,0.66498,0.65011,0.51295,1.16283,3.00066,1.35503,0.00043292,0.00043292,0.00043292
14,228.11,1.30437,1.08644,1.28858,0.97758,0.66667,0.69573,0.49408,1.06366,1.50024,1.26661,0.000421925,0.000421925,0.000421925
15,243.166,1.35362,1.06778,1.27192,1,0.73866,0.85719,0.55862,1.02225,1.24767,1.19671,0.000410262,0.000410262,0.000410262
16,255.868,1.31379,1.14268,1.25157,1,0.7703,0.81991,0.60565,1.05472,0.97822,1.16711,0.000397977,0.000397977,0.000397977
17,273.64,1.35619,1.09594,1.26508,0.95561,0.66667,0.7614,0.52306,1.26289,1.16743,1.30344,0.000385117,0.000385117,0.000385117
18,286.681,1.29493,1.04314,1.26417,0.95125,0.66667,0.74734,0.54035,1.1833,1.39868,1.34242,0.000371734,0.000371734,0.000371734
19,299.974,1.26352,1.06186,1.23839,0.97102,0.66667,0.72155,0.55106,1.11895,1.38273,1.30494,0.00035788,0.00035788,0.00035788
20,319.437,1.24831,1.01005,1.2634,0.98455,0.66667,0.73243,0.55844,1.09851,1.15648,1.30863,0.000343611,0.000343611,0.000343611
21,333.56,1.21898,0.91781,1.21033,0.98685,0.66667,0.78106,0.61909,0.98993,1.06741,1.27141,0.000328982,0.000328982,0.000328982
22,348.268,1.1895,0.96798,1.25644,1,0.65198,0.69331,0.55146,1.08639,1.28508,1.27544,0.000314051,0.000314051,0.000314051
23,363.734,1.22521,0.87616,1.23713,0.85472,0.65536,0.6781,0.52373,1.22604,1.30643,1.35053,0.000298877,0.000298877,0.000298877
24,377.141,1.20193,0.9205,1.18425,0.7628,0.66667,0.69538,0.49863,1.33009,1.2412,1.37805,0.00028352,0.00028352,0.00028352
25,392.366,1.07388,0.85617,1.12003,0.85367,0.66667,0.78843,0.56093,1.28679,1.14564,1.29535,0.000268041,0.000268041,0.000268041
26,406.629,1.14867,0.89766,1.14849,0.93133,0.66667,0.79529,0.5536,1.26276,1.06722,1.27505,0.0002525,0.0002525,0.0002525
27,422.501,1.11374,0.86227,1.17006,0.97898,0.66667,0.76524,0.53293,1.19565,1.04437,1.24529,0.000236959,0.000236959,0.000236959
28,435.089,1.19769,0.8951,1.2154,0.98229,0.66667,0.72154,0.50466,1.17843,1.17166,1.25968,0.00022148,0.00022148,0.00022148
29,448.716,1.11988,0.81565,1.1776,0.9759,0.66667,0.6909,0.51039,1.18418,1.28831,1.28018,0.000206123,0.000206123,0.000206123
30,463.708,1.09861,0.84095,1.15717,0.97218,0.66667,0.70336,0.497,1.18317,1.22524,1.319,0.000190949,0.000190949,0.000190949
31,476.387,1.13476,0.83642,1.15623,0.97009,0.66667,0.71171,0.50964,1.21138,1.26157,1.35777,0.000176018,0.000176018,0.000176018
