epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.9917,1.19487,1.0499,1.31907,0.83301,0.55447,0.59167,0.456,1.20453,1.86421,1.50528,0.000156863,0.000156863,0.0687843
2,72.626,1.237,1.0833,1.33888,0.86951,0.74364,0.7656,0.40508,1.45279,1.85957,1.5566,0.000323213,0.000323213,0.0356173
3,93.0457,1.30208,1.137,1.43039,0.97369,0.66667,0.68895,0.44244,1.29706,1.80029,1.51056,0.000488283,0.000488283,0.00244907
4,114.344,1.38078,1.137,1.50446,0.99143,0.66667,0.66675,0.50027,1.20349,1.70467,1.45969,0.000495616,0.000495616,0.000495616
5,134.654,1.1754,1.05666,1.34009,0.97528,0.55556,0.621,0.4264,1.48611,1.82392,1.72662,0.000492224,0.000492224,0.000492224
6,154.269,1.13561,0.95759,1.27118,0.95966,0.66667,0.69494,0.45371,1.4433,1.54109,1.89813,0.000487886,0.000487886,0.000487886
7,197.475,1.1358,0.95517,1.27853,0.85194,0.64237,0.73489,0.42548,1.36533,1.47772,1.76188,0.00048262,0.00048262,0.00048262
8,221.794,1.10806,0.9822,1.30841,0.92379,0.88889,0.907,0.60677,1.19173,0.96642,1.4288,0.000476445,0.000476445,0.000476445
9,242.218,1.18762,0.90928,1.33498,0.86716,0.88889,0.87278,0.58966,1.19258,1.065,1.42805,0.000469386,0.000469386,0.000469386
10,263.179,1.20538,0.93765,1.32584,0.86922,0.74179,0.75515,0.49159,1.18019,1.75509,1.48516,0.000461471,0.000461471,0.000461471
11,282.93,1.13756,0.94371,1.27445,0.96449,0.77778,0.83786,0.596,1.15149,1.33043,1.44464,0.000452732,0.000452732,0.000452732
12,327.991,1.16952,0.98553,1.29961,0.88059,0.66667,0.84125,0.59825,1.1432,1.37114,1.48015,0.000443202,0.000443202,0.000443202
13,351.939,1.035,0.85817,1.22709,0.95928,0.55556,0.7075,0.48,1.40746,1.7685,1.63399,0.00043292,0.00043292,0.00043292
14,371.596,1.12002,0.8875,1.25251,0.98514,0.55556,0.66958,0.513,1.23707,1.73526,1.5397,0.000421925,0.000421925,0.000421925
15,391.879,1.14107,0.92838,1.28104,0.9808,0.66667,0.67629,0.49495,1.28714,1.39179,1.51619,0.000410262,0.000410262,0.000410262
16,412.164,1.12361,0.86563,1.23976,0.98471,0.66667,0.70561,0.49839,1.40136,1.35077,1.62572,0.000397977,0.000397977,0.000397977
17,459.045,1.18336,0.9477,1.32267,0.98525,0.66667,0.67667,0.46454,1.52366,1.46359,1.75315,0.000385117,0.000385117,0.000385117
18,479.834,1.10906,0.86924,1.293,0.985,0.66667,0.68072,0.47793,1.33873,1.30865,1.56686,0.000371734,0.000371734,0.000371734
